Run2022C
357332:8118,08/12/22 01:50:29,430,430,110321876.613159955,97900886.848707661
357333:8118,08/12/22 04:41:18,207,207,44838849.603717238,43020696.522902064
357401:8120,08/12/22 18:57:25,617,617,171966893.983184516,167341760.781105936
357406:8121,08/13/22 02:47:20,125,125,35216409.712463289,33323347.675004665
357438:8124,08/13/22 14:37:25,196,196,66695698.990956247,61744524.731292844
357440:8124,08/13/22 16:04:46,354,354,120639590.667250082,113610384.808010414
357441:8124,08/13/22 18:25:23,83,83,25409237.926334068,24716945.936497901
357442:8124,08/13/22 19:03:01,1373,1373,317889025.362057567,309566831.592125952
357447:8125,08/14/22 06:45:20,11,11,2762521.955041485,2405447.500679226
357472:8128,08/14/22 18:42:00,27,27,7465596.812128752,7182111.603835243
357478:8128,08/15/22 03:49:42,8,8,2264845.895259053,1606762.847576042
357479:8128,08/15/22 03:54:43,1046,1046,344955292.451732874,327925713.871890008
357482:8128,08/15/22 10:48:28,205,205,51282741.636011235,49827230.032268032
Run2022D
357538:8132,08/15/22 20:37:19,25,25,6593376.585990426,5419413.180209896
357542:8132,08/15/22 20:57:04,251,251,92027205.174985543,83355962.721221611
357550:8132,08/15/22 22:37:57,36,36,12845617.261046801,11725286.713214098
357610:8136,08/17/22 05:34:23,191,191,47949894.021590017,45113719.228545174
357611:8136,08/17/22 06:50:12,412,412,115566776.665919706,110069208.555065870
357612:8136,08/17/22 09:32:56,736,736,161774204.669502914,155255834.934715420
357613:8136,08/17/22 14:22:26,256,256,46660006.773891576,45516370.260435902
357688:8142,08/19/22 01:18:59,380,380,139184359.487660259,128937080.534973726
357696:8143,08/19/22 06:53:22,359,359,132038772.566947117,122713109.391185626
357697:8143,08/19/22 09:24:42,39,39,13919096.836579653,12615432.380556136
357698:8143,08/19/22 09:56:20,63,63,21529083.444470327,18517335.868549164
357699:8143,08/19/22 10:23:21,30,30,9931389.674256945,9171001.933253331
357700:8143,08/19/22 10:36:51,757,757,214038428.074224353,208161604.794870794
357701:8143,08/19/22 15:34:11,310,310,70298098.011439532,68960112.221521094
357705:8143,08/19/22 18:48:46,202,202,39914498.309466004,38450728.348164044
357706:8143,08/19/22 20:11:20,161,161,27413110.815940935,26815885.136277862
357720:8144,08/19/22 23:22:19,61,61,19033628.747414190,17747368.318713810
357732:8146,08/20/22 10:01:56,128,128,46757506.033514217,40799468.965864636
357734:8146,08/20/22 11:04:44,300,300,117044545.836410761,108465160.053475603
357735:8146,08/20/22 13:02:37,1123,1123,329174419.030050635,317745060.497030675
357754:8147,08/20/22 22:52:35,117,117,37817466.267652921,33259886.605353653
357756:8147,08/20/22 23:44:38,425,425,157734241.045054674,147894404.267436951
357757:8147,08/21/22 02:31:13,9,9,3019494.390129825,2110934.828490080
357758:8147,08/21/22 02:37:20,85,85,27797757.286526382,25170244.027109910
357759:8147,08/21/22 03:12:43,70,70,21983775.149523187,20434598.729085129
357766:8148,08/21/22 07:27:46,115,115,41358883.015068263,36685633.968561567
357777:8148,08/21/22 14:05:36,85,85,23829366.251100641,23178791.393385008
357778:8148,08/21/22 14:43:18,359,358,91333589.577777535,86924521.032028958
357779:8148,08/21/22 17:05:47,74,74,17302298.685507815,16779504.455985252
357781:8148,08/21/22 17:44:36,10,10,2241842.101169165,2078629.685253972
357802:8149,08/21/22 20:59:37,164,164,57467776.325644217,52879658.853166319
357803:8149,08/21/22 22:05:02,153,153,55703876.523954466,52558136.304021828
357804:8149,08/21/22 23:06:52,23,23,8399467.135850430,7676498.977216537
357805:8149,08/21/22 23:17:38,88,88,31252656.429903656,29522769.433219150
357806:8149,08/21/22 23:53:44,56,56,16791996.246639002,15570059.805487569
357807:8149,08/22/22 00:20:46,244,244,81491186.576505855,77760802.741046429
357808:8149,08/22/22 01:57:54,17,17,5287529.215454401,4306083.915555191
357809:8149,08/22/22 02:06:38,41,41,12705891.824828561,12018093.325729515
357812:8149,08/22/22 02:23:37,50,50,15217815.055888107,14521097.757344039
357813:8149,08/22/22 02:44:13,293,293,83181673.760985672,79167041.490199953
357814:8149,08/22/22 04:39:13,212,212,54551167.768370621,50887256.882593371
357815:8149,08/22/22 06:04:22,944,944,199162842.273576140,193992442.149082661
357898:8151,08/23/22 02:26:33,313,313,112365966.196523160,105071805.226811692
357899:8151,08/23/22 04:29:12,637,637,195384860.282229155,186117035.017115682
357900:8151,08/23/22 08:38:20,516,516,123511442.289424300,117924054.199932024
Run2022E
359569:8210,09/29/22 14:40:17,83,83,1334993.678269814,1313403.639827010
359571:8210,09/29/22 15:29:19,153,153,2405806.035541832,2348456.277992217
359575:8210,09/29/22 16:41:25,83,83,1285421.873328402,1265173.580101485
359595:8211,09/30/22 00:53:50,273,273,6373334.855724974,6247711.338707660
359597:8211,09/30/22 02:45:13,94,94,2159208.028988433,2132121.300913236
359602:8212,09/30/22 05:24:24,74,74,5897419.096960555,5432577.970712100
359609:8212,09/30/22 08:00:32,25,25,2045944.988064047,1672407.392807645
359612:8212,09/30/22 08:31:57,12,12,947834.934908237,759440.004860943
359661:8214,09/30/22 14:54:53,81,81,9547366.846745074,9069424.646254418
359685:8216,09/30/22 22:05:59,132,132,21002926.291902620,20796878.070165262
